system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,1.2919414664308233,theta,rad,-0.04025723327866904,-0.1575818240014091,0.05552978491004115,0.16658935473012346,0.11174414065024985,0.023844568132917274,0.13558870878316712,3.476613021393943,0.287636269508952,1.8072719823905947,0.09602813822746112,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.3258122663634522,theta,rad,-0.04556040571289203,-0.155488568302108,0.0680825398521184,0.2042476195563552,0.10879512692687687,0.030539386391386623,0.1393345133182635,3.47666844734648,0.2876316839367402,1.8072431703906486,0.09734658332243432,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.3758122663634522,theta,rad,-0.05324198501287749,-0.15161956357578224,0.08668569014312279,0.2600570704293684,0.10344821426509804,0.04170288977302152,0.14515110403811957,3.476754522209204,0.28762456296873634,1.8071984280291138,0.09935934000928669,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.4120675664084656,theta,rad,-0.0586790687612727,-0.14823207892289703,0.10017920035176635,0.30053760105529903,0.09887737149811787,0.05065263865104181,0.14953001014915968,3.4768193283083773,0.2876192017968743,1.807164742792841,0.10084818872869253,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.4620675664084657,theta,rad,-0.06595771324698702,-0.1427592435297107,0.1187122240542599,0.35613667216277967,0.09171090725928861,0.06399322453896257,0.15570413179825118,3.476910712134221,0.28761164228637126,1.8071172449875188,0.10291095224359104,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.4919949663492544,theta,rad,-0.0701753174576768,-0.13904154057079074,0.12972273051672298,0.3891681915501689,0.08699647501934481,0.07243539032993003,0.15943186534927484,3.4769658919462314,0.2876070778595559,1.807088565848017,0.10413666975013998,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.5419949663492545,theta,rad,-0.07695763406179723,-0.13209960826736042,0.14790264306876444,0.4437079292062933,0.07852637926975534,0.08710625240062475,0.1656326316703801,3.4770576875819854,0.28759948492411114,1.807040858027592,0.10614430878110753,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.5764788664101317,theta,rad,-0.08142255206845415,-0.1267861970336271,0.16023247308188393,0.4806974192456518,0.0723363289121237,0.0975011504084172,0.16983747932054089,3.47711994200858,0.28759433573704785,1.807008504731092,0.1074844680832169,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.6264788664101317,theta,rad,-0.08755423275430428,-0.11833529958288053,0.17771815575270533,0.533154467258116,0.06301459407316538,0.1127293776649184,0.1757439717380838,3.477207398430596,0.2875871023544182,1.8069630560476322,0.10933933833661558,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.6599257664910212,theta,rad,-0.0914106400557905,-0.11220002006626467,0.18910295915415415,0.5673088774624624,0.05664980026291588,0.1228715494313854,0.17952134969430128,3.477263334610425,0.2875824761520499,1.8069339887608837,0.11050932616397781,1.0,3.0,0.05,1.0,1.808
